id,reader,number,name,read_surat_link,download_surat_link,surat_time
,18,47,Surat  Muhammad,https://www.quran.com/47,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/047.mp3,11:03
,18,48,Surat  Al-Fath,https://www.quran.com/48,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/048.mp3,08:26
,18,49,Surat  Al-Hujurat,https://www.quran.com/49,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/049.mp3,06:19
,18,50,Surat  Qaf,https://www.quran.com/50,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/050.mp3,07:56
,18,51,Surat  Adh-Dhariyat,https://www.quran.com/51,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/051.mp3,06:08
,18,52,Surat  At-Tur,https://www.quran.com/52,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/052.mp3,06:59
,18,53,Surat  An-Najm,https://www.quran.com/53,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/053.mp3,05:08
,18,54,Surat  Al-Qamar,https://www.quran.com/54,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/054.mp3,06:25
,18,55,Surat  Ar-Rahman,https://www.quran.com/55,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/055.mp3,08:52
,18,56,Surat  Al-Waqi'ah,https://www.quran.com/56,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/056.mp3,07:56
,18,57,Surat  Al-Hadid,https://www.quran.com/57,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/057.mp3,09:07
,18,58,Surat  Al-Mujadila,https://www.quran.com/58,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/058.mp3,08:52
,18,59,Surat  Al-Hashr,https://www.quran.com/59,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/059.mp3,09:38
,18,60,Surat  Al-Mumtahanah,https://www.quran.com/60,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/060.mp3,06:34
,18,61,Surat  As-Saf,https://www.quran.com/61,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/061.mp3,05:01
,18,62,Surat  Al-Jumu'ah,https://www.quran.com/62,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/062.mp3,03:22
,18,63,Surat  Al-Munafiqun,https://www.quran.com/63,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/063.mp3,04:12
,18,64,Surat  At-Taghabun,https://www.quran.com/64,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/064.mp3,03:50
,18,65,Surat  At-Talaq,https://www.quran.com/65,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/065.mp3,04:32
,18,66,Surat  At-Tahrim,https://www.quran.com/66,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/066.mp3,06:10
,18,67,Surat  Al-Mulk,https://www.quran.com/67,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/067.mp3,05:41
,18,68,Surat  Al-Qalam,https://www.quran.com/68,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/068.mp3,06:26
,18,69,Surat  Al-Haqqah,https://www.quran.com/69,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/069.mp3,06:47
,18,70,Surat  Al-Ma'arij,https://www.quran.com/70,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/070.mp3,04:06
,18,71,Surat  Nuh,https://www.quran.com/71,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/071.mp3,04:16
,18,72,Surat  Al-Jinn,https://www.quran.com/72,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/072.mp3,03:53
,18,73,Surat  Al-Muzzammil,https://www.quran.com/73,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/073.mp3,03:36
,18,74,Surat  Al-Muddaththir,https://www.quran.com/74,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/074.mp3,04:43
,18,75,Surat  Al-Qiyamah,https://www.quran.com/75,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/075.mp3,03:28
,18,76,Surat  Al-Insan,https://www.quran.com/76,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/076.mp3,04:52
,18,77,Surat  Al-Mursalat,https://www.quran.com/77,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/077.mp3,03:50
,18,78,Surat  An-Naba,https://www.quran.com/78,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/078.mp3,03:09
,18,79,Surat  An-Nazi'at,https://www.quran.com/79,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/079.mp3,02:59
,18,80,Surat  'Abasa,https://www.quran.com/80,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/080.mp3,02:17
